,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$59K - $128K (Glassdoor est.),Data Science,3.2,"7-Eleven, Inc.
3.2","Irving, TX",-1,10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail,$1 to $2 billion (USD),-1
1,Data Scientist,Employer Provided Salary:$160K - $175K,Data Science,4.3,"American Capital Group
4.3","Bellevue, WA",-1,51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
2,Data Scientist,Employer Provided Salary:$95K,Data Science,-1,AdVon Commerce,"Dublin, OH",-1,-1,-1,-1,-1,-1,-1,-1
3,Data Scientist,-1,Data Science,4.0,"SparkCognition
4.0",California,-1,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
4,Data Scientist,Employer Provided Salary:$140K - $150K,Data Science,-1,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1,-1,-1,-1,-1,-1
5,Senior Data Scientist,Employer Provided Salary:$70 Per Hour,Data Science,-1,Tror,Remote,-1,-1,-1,-1,-1,-1,-1,-1
6,Data Scientist - Remote,Employer Provided Salary:$115K - $150K,Data Science,-1,Emerald Resource Group,Remote,-1,-1,-1,-1,-1,-1,-1,-1
7,Data Scientist II,Employer Provided Salary:$106K - $180K,Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1
8,"Staff Data Scientist, Partnerships",$80K - $173K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
9,Data Scientist,Employer Provided Salary:$80K - $100K,Data Science,4.2,"Continental Finance Company, LLC
4.2","Wilmington, DE",-1,51 to 200 Employees,2005,Company - Private,Lending,Finance,$5 to $10 million (USD),-1
10,"Senior Data Scientist, Fulfillment",$65K - $138K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","Atlanta, GA",-1,1001 to 5000 Employees,2001,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
11,"Data Scientist, Product",Employer Provided Salary:$130K - $140K,Data Science,-1,Ancera,"Atlanta, GA",-1,-1,-1,-1,-1,-1,-1,-1
12,Principal Data Scientist- Tableau,Employer Provided Salary:$96K - $145K,Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
13,Senior Data Scientist,Employer Provided Salary:$150K,Data Science,3.0,"Innovative Precision Health
3.0",Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
14,Data Scientist,Employer Provided Salary:$100K - $150K,Data Science,-1,Cognitiv.ai,"Bellevue, WA",-1,-1,-1,-1,-1,-1,-1,-1
15,Data Scientist l,Employer Provided Salary:$55K,Data Science,2.9,"Wildfire Defense Insurance Services, Inc.
2.9","Bozeman, MT",-1,51 to 200 Employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
16,Data Scientist,-1,Data Science,-1,"Verinovum, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1
17,Data Scientist/Principal Data Scientist,Employer Provided Salary:$78K - $118K,Data Science,4.0,"Northrop Grumman
4.0","Melbourne, FL",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
18,Data Scientist,Employer Provided Salary:$125K - $140K,Data Science,4.5,"Propane Education & Research Council
4.5",Remote,-1,1 to 50 Employees,1996,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),-1
19,Machine Learning Engineer / Data Scientist,Employer Provided Salary:$120K - $130K,Data Science,-1,Tiro L.L.C.,Remote,-1,-1,-1,-1,-1,-1,-1,-1
20,Data Scientist,Employer Provided Salary:$86K - $117K,Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
21,Data Scientist,-1,Data Science,3.8,"Insurity
3.8",Remote,-1,501 to 1000 Employees,1971,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
22,Data Scientist,Employer Provided Salary:$83K - $118K,Data Science,-1,Clock Foundation,"Torrance, CA",-1,-1,-1,-1,-1,-1,-1,-1
23,Data Scientist,$115K - $202K (Glassdoor est.),Data Science,-1,TikTok,"Mountain View, CA",-1,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
24,Data Scientist,-1,Data Science,-1,Event Dynamic,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1
25,Staff Applied Scientist,Employer Provided Salary:$147K - $213K,Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
26,Sr. Data Analyst - Marketing,-1,Data Science,3.8,"Visionworks
3.8",Remote,-1,5001 to 10000 Employees,1984,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
27,Senior Data Scientist - Delivery Insights,Employer Provided Salary:$123K - $179K,Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
28,"Staff Data Scientist, Partnerships",$74K - $166K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","Atlanta, GA",-1,1001 to 5000 Employees,2001,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
