,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
0,Data Scientist,$59K - $128K (Glassdoor est.),Data Science,3.2,"7-Eleven, Inc.
3.2","Irving, TX",-1,10000+ Employees,1927.0,Company - Private,Food & Beverage Stores,Retail,$1 to $2 billion (USD),-1,0,0,59,128,93.5,"7-Eleven, Inc.",TX,93.0,data scientist,na,0,59,128
1,Data Scientist,Employer Provided Salary:$160K - $175K,Data Science,4.3,"American Capital Group
4.3","Bellevue, WA",-1,51 to 200 Employees,1986.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1,0,0,160,175,167.5,American Capital Group,WA,34.0,data scientist,na,0,160,175
2,Data Scientist,Employer Provided Salary:$95K,Data Science,-1.0,AdVon Commerce,"Dublin, OH",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,95,95,95.0,AdVon Commerce,OH,-1.0,data scientist,na,0,95,95
3,Data Scientist,Employer Provided Salary:$140K - $150K,Data Science,-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,140,150,145.0,Health Data Analytics Institute,MA,-1.0,data scientist,na,0,140,150
4,Senior Data Scientist,Employer Provided Salary:$70 Per Hour,Data Science,-1.0,Tror,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,1,0,70,70,70.0,Tror,Remote,-1.0,data scientist,senior,0,140,140
5,Data Scientist - Remote,Employer Provided Salary:$115K - $150K,Data Science,-1.0,Emerald Resource Group,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,115,150,132.5,Emerald Resource Group,Remote,-1.0,data scientist,na,0,115,150
6,Data Scientist II,Employer Provided Salary:$106K - $180K,Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,106,180,143.0,EDWARD JONES,MO,98.0,data scientist,na,0,106,180
7,"Staff Data Scientist, Partnerships",$80K - $173K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,80,173,126.5,LegalZoom,NY,19.0,data scientist,na,0,80,173
8,Data Scientist,Employer Provided Salary:$80K - $100K,Data Science,4.2,"Continental Finance Company, LLC
4.2","Wilmington, DE",-1,51 to 200 Employees,2005.0,Company - Private,Lending,Finance,$5 to $10 million (USD),-1,0,0,80,100,90.0,"Continental Finance Company, LLC",DE,15.0,data scientist,na,0,80,100
9,"Senior Data Scientist, Fulfillment",$65K - $138K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","Atlanta, GA",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,65,138,101.5,LegalZoom,GA,19.0,data scientist,senior,0,65,138
10,"Data Scientist, Product",Employer Provided Salary:$130K - $140K,Data Science,-1.0,Ancera,"Atlanta, GA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,130,140,135.0,Ancera,GA,-1.0,data scientist,na,0,130,140
11,Principal Data Scientist- Tableau,Employer Provided Salary:$96K - $145K,Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,96,145,120.5,Northrop Grumman,AZ,81.0,data scientist,senior,0,96,145
12,Senior Data Scientist,Employer Provided Salary:$150K,Data Science,3.0,"Innovative Precision Health
3.0",Remote,-1,1 to 50 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,150,150,150.0,Innovative Precision Health,Remote,-1.0,data scientist,senior,0,150,150
13,Data Scientist,Employer Provided Salary:$100K - $150K,Data Science,-1.0,Cognitiv.ai,"Bellevue, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,100,150,125.0,Cognitiv.ai,WA,-1.0,data scientist,na,0,100,150
